algorithm,similarity,epochs,batch_fraction
sgd,0,1,1.0
sgd,10,1,1.0
sgd,100,1,1.0
scaffold,0,1,0.2
scaffold,0,5,0.2
scaffold,0,10,0.2
scaffold,0,20,0.2
scaffold,10,1,0.2
scaffold,10,5,0.2
scaffold,10,10,0.2
scaffold,10,20,0.2
scaffold,100,1,0.2
scaffold,100,5,0.2
scaffold,100,10,0.2
scaffold,100,20,0.2
fedavg,0,1,0.2
fedavg,0,5,0.2
fedavg,0,10,0.2
fedavg,0,20,0.2
fedavg,10,1,0.2
fedavg,10,5,0.2
fedavg,10,10,0.2
fedavg,10,20,0.2
fedavg,100,1,0.2
fedavg,100,5,0.2
fedavg,100,10,0.2
fedavg,100,20,0.2
fedprox,0,1,0.2
fedprox,0,5,0.2
fedprox,0,10,0.2
fedprox,0,20,0.2
fedprox,10,1,0.2
fedprox,10,5,0.2
fedprox,10,10,0.2
fedprox,10,20,0.2
fedprox,100,1,0.2
fedprox,100,5,0.2
fedprox,100,10,0.2
fedprox,100,20,0.2
